"case","alpha","n","p","rho","sparsity","iter","loglambda","auc.mean","auc.sd","tau","auc.low","auc.upp"
"ind",0.5,500,1000,0.8,0.01,500,0,1,0,2.84726276927152,1,1
"ind",0.5,500,1000,0.8,0.01,500,0.5,1,0,2.53238275158518,1,1
"ind",0.5,500,1000,0.8,0.05,500,-3,0.963817263157895,0.0132117769542535,6.91021835452007,0.962659199848062,0.964975326467727
"ind",0.5,500,1000,0.8,0.05,500,-2.5,0.966876042105263,0.0125729086685924,6.0093739149896,0.965773978069715,0.967978106140812
"ind",0.5,500,1000,0.8,0.05,500,-2,0.970943284210527,0.0117467754897148,5.1208186768046,0.969913633940879,0.971972934480175
"ind",0.5,500,1000,0.8,0.05,500,-1.5,0.976455242105263,0.010364704980987,4.26753996743731,0.975546735657018,0.977363748553509
"ind",0.5,500,1000,0.8,0.05,500,-1,0.983544715789473,0.0082711275344397,3.50691314039435,0.982819719495504,0.984269712083442
"ind",0.5,500,1000,0.8,0.05,500,-0.5,0.990679915789473,0.00573869330809969,2.95119896654431,0.990176897142587,0.991182934436359
"ind",0.5,500,1000,0.8,0.05,500,0,0.995626610526316,0.00339986603571095,2.65929204967054,0.995328599128762,0.995924621923869
"ind",0.5,500,1000,0.8,0.05,500,0.5,0.997783789473684,0.00218404081823997,2.61836052101604,0.997592349855263,0.997975229092104
"ind",0.5,500,1000,0.8,0.1,500,-3,0.890534266666667,0.0181487867840075,6.86022735866723,0.888943455365106,0.892125077968228
"ind",0.5,500,1000,0.8,0.1,500,-2.5,0.896408755555556,0.0176273549694581,5.97301800802207,0.894863649767727,0.897953861343385
"ind",0.5,500,1000,0.8,0.1,500,-2,0.90447488888889,0.0167951062722319,5.10216391136987,0.90300273291578,0.905947044862
"ind",0.5,500,1000,0.8,0.1,500,-1.5,0.915826377777777,0.01561369788225,4.269633343557,0.914457776815858,0.917194978739695
"ind",0.5,500,1000,0.8,0.1,500,-1,0.931338955555554,0.0139480404253915,3.53497408476057,0.930116355907026,0.932561555204083
"ind",0.5,500,1000,0.8,0.1,500,-0.5,0.949071155555555,0.0118262153791991,3.00549131406599,0.94803454207258,0.950107769038529
"ind",0.5,500,1000,0.8,0.1,500,0,0.963609955555555,0.0098861679747548,2.73753592729775,0.962743394725316,0.964476516385793
"ind",0.5,500,1000,0.8,0.1,500,0.5,0.971916711111111,0.00840204824750831,2.72236017553453,0.97118023911067,0.972653183111553
